Year,Month,Date
1979,10,05
1979,11,04
1979,12,03
1980,01,02
1980,02,01
1980,03,01
1980,03,31
1980,04,30
1980,05,29
1980,06,28
1980,07,27
1980,08,26
1980,09,24
1980,10,23
1980,11,22
1980,12,21
1981,01,20
1981,02,18
1981,03,20
1981,04,19
1981,05,19
1981,06,17
1981,07,17
1981,08,15
1981,09,14
1981,10,13
1981,11,11
1981,12,11
1982,01,09
1982,02,08
1982,03,09
1982,04,08
1982,05,08
1982,06,06
1982,07,06
1982,08,05
1982,09,03
1982,10,03
1982,11,01
1982,12,01
1982,12,30
1983,01,28
1983,02,27
1983,03,28
1983,04,27
1983,05,26
1983,06,25
1983,07,25
1983,08,23
1983,09,22
1983,10,21
1983,11,20
1983,12,20
1984,01,18
1984,02,17
1984,03,17
1984,04,15
1984,05,15
1984,06,13
1984,07,13
1984,08,11
1984,09,10
1984,10,10
1984,11,08
1984,12,08
1985,01,07
1985,02,05
1985,03,07
1985,04,05
1985,05,04
1985,06,03
1985,07,02
1985,07,31
1985,08,30
1985,09,29
1985,10,28
1985,11,27
1985,12,27
1986,01,26
1986,02,24
1986,03,26
1986,04,24
1986,05,23
1986,06,22
1986,07,21
1986,08,19
1986,09,18
1986,10,17
1986,11,16
1986,12,16
1987,01,15
1987,02,13
1987,03,15
1987,04,14
1987,05,13
1987,06,11
1987,07,11
1987,08,09
1987,09,07
1987,10,07
1987,11,05
1987,12,05
1988,01,04
1988,02,02
1988,03,03
1988,04,02
1988,05,02
1988,05,31
1988,06,29
1988,07,29
1988,08,27
1988,09,25
1988,10,25
1988,11,23
1988,12,23
1989,01,21
1989,02,20
1989,03,22
1989,04,21
1989,05,20
1989,06,19
1989,07,18
1989,08,17
1989,09,15
1989,10,14
1989,11,13
1989,12,12
1990,01,11
1990,02,09
1990,03,11
1990,04,10
1990,05,09
1990,06,08
1990,07,08
1990,08,06
1990,09,05
1990,10,04
1990,11,02
1990,12,02
1990,12,31
1991,01,30
1991,02,28
1991,03,30
1991,04,28
1991,05,28
1991,06,27
1991,07,26
1991,08,25
1991,09,24
1991,10,23
1991,11,21
1991,12,21
1992,01,19
1992,02,18
1992,03,18
1992,04,17
1992,05,16
1992,06,15
1992,07,14
1992,08,13
1992,09,12
1992,10,11
1992,11,10
1992,12,10
1993,01,08
1993,02,07
1993,03,08
1993,04,06
1993,05,06
1993,06,04
1993,07,04
1993,08,02
1993,09,01
1993,09,30
1993,10,30
1993,11,29
1993,12,29
1994,01,27
1994,02,26
1994,03,27
1994,04,25
1994,05,25
1994,06,23
1994,07,22
1994,08,21
1994,09,19
1994,10,19
1994,11,18
1994,12,18
1995,01,16
1995,02,15
1995,03,17
1995,04,15
1995,05,14
1995,06,13
1995,07,12
1995,08,10
1995,09,09
1995,10,08
1995,11,07
1995,12,07
1996,01,05
1996,02,04
1996,03,05
1996,04,04
1996,05,03
1996,06,01
1996,07,01
1996,07,30
1996,08,28
1996,09,27
1996,10,26
1996,11,25
1996,12,24
1997,01,23
1997,02,22
1997,03,24
1997,04,22
1997,05,22
1997,06,20
1997,07,20
1997,08,18
1997,09,16
1997,10,16
1997,11,14
1997,12,14
1998,01,12
1998,02,11
1998,03,13
1998,04,12
1998,05,11
1998,06,10
1998,07,09
1998,08,08
1998,09,06
1998,10,05
1998,11,04
1998,12,03
1999,01,02
1999,01,31
1999,03,02
1999,04,01
1999,04,30
1999,05,30
1999,06,28
1999,07,28
1999,08,27
1999,09,25
1999,10,24
1999,11,23
1999,12,22
2000,01,21
2000,02,19
2000,03,20
2000,04,18
2000,05,18
2000,06,17
2000,07,16
2000,08,15
2000,09,13
2000,10,13
2000,11,11
2000,12,11
2001,01,09
2001,02,08
2001,03,09
2001,04,08
2001,05,07
2001,06,06
2001,07,05
2001,08,04
2001,09,02
2001,10,02
2001,11,01
2001,11,30
2001,12,30
2002,01,28
2002,02,27
2002,03,28
2002,04,27
2002,05,26
2002,06,24
2002,07,24
2002,08,23
2002,09,21
2002,10,21
2002,11,20
2002,12,19
2003,01,18
2003,02,17
2003,03,18
2003,04,16
2003,05,16
2003,06,14
2003,07,13
2003,08,12
2003,09,10
2003,10,10
2003,11,09
2003,12,08
2004,01,07
2004,02,06
2004,03,07
2004,04,05
2004,05,04
2004,06,03
2004,07,02
2004,07,31
2004,08,30
2004,09,28
2004,10,28
2004,11,26
2004,12,26
2005,01,25
2005,02,24
2005,03,25
2005,04,24
2005,05,23
2005,06,22
2005,07,21
2005,08,19
2005,09,18
2005,10,17
2005,11,16
2005,12,15
2006,01,14
2006,02,13
2006,03,15
2006,04,13
2006,05,13
2006,06,11
2006,07,11
2006,08,09
2006,09,07
2006,10,07
2006,11,05
2006,12,05
2007,01,03
2007,02,02
2007,03,04
2007,04,02
2007,05,02
2007,06,01
2007,06,30
2007,07,30
2007,08,28
2007,09,26
2007,10,26
2007,11,24
2007,12,24
2008,01,22
2008,02,21
2008,03,21
2008,04,20
2008,05,20
2008,06,18
2008,07,18
2008,08,16
2008,09,15
2008,10,14
2008,11,13
2008,12,12
2009,01,11
2009,02,09
2009,03,11
2009,04,09
2009,05,09
2009,06,07
2009,07,07
2009,08,06
2009,09,04
2009,10,04
2009,11,02
2009,12,02
2009,12,31
2010,01,30
2010,02,28
2010,03,30
2010,04,28
2010,05,28
2010,06,26
2010,07,26
2010,08,24
2010,09,23
2010,10,23
2010,11,21
2010,12,21
2011,01,19
2011,02,18
2011,03,19
2011,04,18
2011,05,17
2011,06,15
2011,07,15
2011,08,13
2011,09,12
2011,10,12
2011,11,10
2011,12,10
2012,01,09
2012,02,07
2012,03,08
2012,04,06
2012,05,06
2012,06,04
2012,07,03
2012,08,02
2012,08,31
2012,09,30
2012,10,29
2012,11,28
2012,12,28
2013,01,27
2013,02,25
2013,03,27
2013,04,25
2013,05,25
2013,06,23
2013,07,22
2013,08,21
2013,09,19
2013,10,19
2013,11,17
2013,12,17
2014,01,16
2014,02,15
2014,03,16
2014,04,15
2014,05,14
2014,06,13
2014,07,12
2014,08,10
2014,09,09
2014,10,08
2014,11,06
2014,12,06
2015,01,05
2015,02,04
2015,03,05
2015,04,04
2015,05,04
2015,06,02
2015,07,02
2015,07,31
2015,08,29
